,,,,,,,,,,,,
Comparison of State and Local Government Spending,,,,,,,,,,,,
in the United States,,,,,,,,,,,,
Fiscal Year 2018,,,,,,,,,,,,
Amounts in percent GDP,,,,,,,,,,,,
Education,,,,,,,,,,,,
State,State Spending,,Local Spending,,State and Local Spending,,Gross State Product,,Real State Growth %,,Population (million), 
Alabama,3.03,a,3.64,a,6.67,a,221.7,a,2.8,a,4.9,e
Alaska,2.53,a,3.41,a,5.94,a,54.7,a,0.7,a,0.7,e
Arizona,1.73,a,2.85,a,4.58,a,348.3,a,4.1,a,7.2,e
Arkansas,2.65,a,4.19,a,6.84,a,128.4,a,1.7,a,3.0,e
California,1.28,a,3.49,a,4.76,a,"2,997.7",a,4.3,a,39.5,e
Colorado,2.01,a,3.10,a,5.11,a,371.8,a,3.5,a,5.7,e
Connecticut,1.40,a,3.59,a,4.99,a,275.7,a,0.5,a,3.6,e
Delaware,2.49,a,2.88,a,5.37,a,73.5,a,0.0,a,1.0,e
District of Columbia,0.00,a,2.25,a,2.25,a,140.7,a,2.5,a,0.7,e
Florida,1.19,a,3.18,a,4.37,a,"1,039.2",a,3.2,a,21.2,e
Georgia,1.48,a,3.53,a,5.01,a,592.2,a,2.4,a,10.5,e
Hawaii,3.94,a,0.00,a,3.94,a,93.8,a,2.4,a,1.4,e
Idaho,1.77,a,3.30,a,5.07,a,77.1,a,4.0,a,1.8,e
Illinois,1.00,a,3.57,a,4.57,a,865.3,a,2.1,a,12.7,e
Indiana,2.17,a,2.94,a,5.12,a,366.8,a,2.0,a,6.7,e
Iowa,1.82,a,4.15,a,5.97,a,189.7,a,2.2,a,3.1,e
Kansas,1.73,a,4.26,a,6.00,a,168.3,a,2.1,a,2.9,e
Kentucky,2.98,a,3.33,a,6.30,a,208.1,a,1.4,a,4.5,e
Louisiana,1.64,a,3.18,a,4.82,a,257.3,a,2.6,a,4.7,e
Maine,1.58,a,4.18,a,5.77,a,64.9,a,2.2,a,1.3,e
Maryland,1.45,a,3.76,a,5.21,a,412.6,a,2.5,a,6.0,e
Massachusetts,1.24,a,2.93,a,4.17,a,569.5,a,3.1,a,6.9,e
Michigan,2.38,a,3.84,a,6.21,a,527.1,a,2.5,a,10.0,e
Minnesota,1.80,a,3.70,a,5.51,a,368.9,a,2.6,a,5.6,e
Mississippi,2.39,a,4.74,a,7.13,a,114.8,a,1.3,a,3.0,e
Missouri,1.28,a,3.65,a,4.93,a,318.9,a,2.4,a,6.1,e
Montana,2.07,a,4.13,a,6.19,a,50.3,a,2.6,a,1.1,e
Nebraska,1.75,a,4.20,a,5.95,a,124.0,a,0.9,a,1.9,e
Nevada,1.34,a,2.91,a,4.26,a,169.3,a,4.2,a,3.0,e
New Hampshire,1.37,a,3.71,a,5.08,a,84.5,a,2.3,a,1.4,e
New Jersey,1.85,a,4.27,a,6.12,a,622.0,a,2.2,a,8.9,e
New Mexico,2.81,a,3.99,a,6.80,a,100.3,a,2.5,a,2.1,e
New York,0.77,a,4.58,a,5.35,a,"1,668.9",a,1.2,a,19.5,e
North Carolina,1.95,a,3.09,a,5.04,a,563.7,a,2.4,a,10.4,e
North Dakota,2.09,a,3.25,a,5.34,a,56.1,a,3.6,a,0.8,e
Ohio,1.62,a,3.87,a,5.49,a,675.9,a,1.9,a,11.7,e
Oklahoma,2.23,a,3.02,a,5.26,a,202.6,a,2.6,a,3.9,e
Oregon,2.18,a,3.96,a,6.15,a,239.8,a,3.8,a,4.2,e
Pennsylvania,1.57,a,4.09,a,5.66,a,783.2,a,2.6,a,12.8,e
Rhode Island,1.74,a,4.18,a,5.91,a,60.6,a,1.2,a,1.1,e
South Carolina,2.60,a,4.11,a,6.71,a,233.9,a,2.6,a,5.1,e
South Dakota,1.70,a,3.29,a,4.99,a,52.0,a,1.9,a,0.9,e
Tennessee,1.36,a,2.77,a,4.14,a,364.1,a,3.1,a,6.8,e
Texas,1.58,a,3.54,a,5.12,a,"1,802.5",a,4.0,a,28.6,e
All states combined,1.57,a,3.58,a,5.15,a,"20,580.2",a,2.9,a,326.7,e
Utah,2.85,a,3.11,a,5.96,a,178.1,a,3.7,a,3.2,e
Vermont,3.59,a,5.68,a,9.27,a,33.3,a,1.2,a,0.6,e
Virginia,1.82,a,3.37,a,5.19,a,532.9,a,2.6,a,8.5,e
Washington,1.62,a,3.20,a,4.82,a,565.8,a,5.8,a,7.5,e
West Virginia,2.77,a,3.96,a,6.72,a,77.4,a,2.3,a,1.8,e
Wisconsin,1.68,a,4.13,a,5.81,a,336.3,a,2.4,a,5.8,e
Wyoming,1.93,a,5.17,a,7.10,a,39.1,a,0.1,a,0.6,e
,,,,,,,,,,,,
Legend:,,,,,,,,,,,,
a - actual reported,,,,,,,,,,,,
e - out-year estimate in US budget,,,,,,,,,,,,
