,,,,,,,,,,,,
Comparison of State and Local Government Spending,,,,,,,,,,,,
in the United States,,,,,,,,,,,,
Fiscal Year 2020,,,,,,,,,,,,
Amounts in percent GDP,,,,,,,,,,,,
Education,,,,,,,,,,,,
State,State Spending,,Local Spending,,State and Local Spending,,Gross State Product,,Real State Growth %,,Population (million), 
Alabama,3.18,g,3.53,g,6.71,g,239.5,g,1.5,g,4.9,g
Alaska,2.37,g,3.19,g,5.56,g,56.5,g,1.7,g,0.7,g
Arizona,1.77,g,2.78,g,4.55,g,381.8,g,2.0,g,7.4,g
Arkansas,2.77,g,4.13,g,6.90,g,137.7,g,1.2,g,3.0,g
California,1.31,g,3.64,g,4.94,g,"3,262.4",g,1.7,g,39.6,g
Colorado,1.98,g,3.30,g,5.27,g,406.6,g,2.3,g,5.8,g
Connecticut,1.18,g,3.62,g,4.80,g,295.2,g,1.1,g,3.6,g
Delaware,2.23,g,2.82,g,5.04,g,77.5,g,0.7,g,1.0,g
District of Columbia,0.00,g,2.29,g,2.29,g,151.4,g,1.1,g,0.7,g
Florida,1.22,g,3.09,g,4.31,g,"1,140.5",g,1.8,g,21.7,g
Georgia,1.53,g,3.54,g,5.07,g,638.7,g,1.3,g,10.7,g
Hawaii,4.13,g,0.00,g,4.13,g,100.6,g,0.8,g,1.4,g
Idaho,1.89,g,3.34,g,5.23,g,84.3,g,1.8,g,1.8,g
Illinois,0.97,g,3.51,g,4.48,g,927.6,g,1.1,g,12.6,g
Indiana,2.23,g,2.92,g,5.14,g,388.0,g,0.7,g,6.8,g
Iowa,1.77,g,4.07,g,5.83,g,200.3,g,0.7,g,3.2,g
Kansas,1.55,g,4.33,g,5.88,g,178.2,g,0.7,g,2.9,g
Kentucky,2.80,g,3.25,g,6.05,g,221.3,g,0.8,g,4.5,g
Louisiana,1.55,g,3.01,g,4.56,g,271.1,g,0.9,g,4.6,g
Maine,1.54,g,4.24,g,5.78,g,70.0,g,1.3,g,1.3,g
Maryland,1.45,g,3.66,g,5.11,g,443.2,g,1.1,g,6.1,g
Massachusetts,1.14,g,2.84,g,3.98,g,619.0,g,1.6,g,6.9,g
Michigan,2.49,g,3.90,g,6.39,g,557.0,g,0.6,g,10.0,g
Minnesota,1.70,g,3.68,g,5.38,g,392.8,g,1.0,g,5.7,g
Mississippi,2.18,g,4.53,g,6.71,g,122.6,g,1.0,g,3.0,g
Missouri,1.15,g,3.55,g,4.70,g,344.2,g,1.4,g,6.2,g
Montana,2.00,g,4.33,g,6.33,g,53.9,g,1.4,g,1.1,g
Nebraska,1.63,g,4.06,g,5.68,g,130.4,g,0.5,g,1.9,g
Nevada,1.41,g,2.90,g,4.30,g,184.9,g,1.9,g,3.1,g
New Hampshire,1.21,g,3.66,g,4.87,g,92.2,g,1.8,g,1.4,g
New Jersey,1.86,g,4.12,g,5.98,g,666.7,g,1.0,g,8.9,g
New Mexico,2.78,g,3.64,g,6.42,g,107.5,g,2.4,g,2.1,g
New York,0.74,g,4.58,g,5.32,g,"1,791.7",g,1.2,g,19.4,g
North Carolina,1.94,g,3.06,g,5.00,g,609.7,g,1.5,g,10.6,g
North Dakota,1.86,g,3.15,g,5.01,g,58.3,g,1.5,g,0.8,g
Ohio,1.62,g,3.79,g,5.40,g,720.8,g,1.2,g,11.7,g
Oklahoma,2.02,g,3.11,g,5.14,g,210.7,g,1.6,g,4.0,g
Oregon,2.18,g,4.08,g,6.26,g,262.0,g,1.8,g,4.3,g
Pennsylvania,1.41,g,4.07,g,5.49,g,842.1,g,1.5,g,12.8,g
Rhode Island,1.76,g,3.98,g,5.73,g,66.2,g,1.7,g,1.1,g
South Carolina,2.43,g,4.10,g,6.53,g,257.1,g,2.0,g,5.2,g
South Dakota,1.80,g,3.42,g,5.22,g,54.7,g,0.6,g,0.9,g
Tennessee,1.32,g,2.73,g,4.04,g,394.7,g,1.5,g,6.9,g
Texas,1.50,g,3.48,g,4.98,g,"1,962.4",g,2.8,g,29.4,g
All states combined,1.54,g,3.57,g,5.11,g,"22,210.9",b,1.5,b,330.6,e
Utah,2.83,g,3.13,g,5.96,g,197.3,g,2.4,g,3.3,g
Vermont,3.38,g,6.26,g,9.64,g,36.2,g,1.6,g,0.6,g
Virginia,1.88,g,3.19,g,5.07,g,574.1,g,1.3,g,8.6,g
Washington,1.58,g,3.43,g,5.01,g,628.3,g,2.4,g,7.7,g
West Virginia,2.47,g,3.69,g,6.16,g,79.6,g,0.7,g,1.8,g
Wisconsin,1.57,g,4.28,g,5.86,g,358.3,g,1.0,g,5.8,g
Wyoming,1.68,g,4.52,g,6.20,g,40.5,g,2.1,g,0.6,g
,,,,,,,,,,,,
Legend:,,,,,,,,,,,,
g - 'guesstimated' projection by usgovernmentspending.com,,,,,,,,,,,,
b - spending in US budget,,,,,,,,,,,,
e - out-year estimate in US budget,,,,,,,,,,,,
