,,,,,,,,,,,,
Comparison of State and Local Government Spending,,,,,,,,,,,,
in the United States,,,,,,,,,,,,
Fiscal Year 2016,,,,,,,,,,,,
Amounts in percent GDP,,,,,,,,,,,,
Education,,,,,,,,,,,,
State,State Spending,,Local Spending,,State and Local Spending,,Gross State Product,,Real State Growth %,,Population (million), 
Alabama,2.90,a,3.82,a,6.72,a,203.8,a,0.7,a,4.9,e
Alaska,3.29,a,3.98,a,7.27,a,49.4,a,-2.0,a,0.7,e
Arizona,1.75,a,2.98,a,4.73,a,311.1,a,3.2,a,6.9,e
Arkansas,2.72,a,4.31,a,7.02,a,120.4,a,0.6,a,3.0,e
California,1.31,a,3.44,a,4.75,a,"2,657.8",a,3.0,a,39.2,e
Colorado,2.04,a,3.00,a,5.05,a,329.4,a,2.4,a,5.5,e
Connecticut,1.60,a,3.64,a,5.24,a,263.7,a,0.0,a,3.6,e
Delaware,2.50,a,2.86,a,5.36,a,69.5,a,-4.2,a,0.9,e
District of Columbia,0.00,a,2.19,a,2.19,a,129.8,a,2.0,a,0.7,e
Florida,1.19,a,3.29,a,4.48,a,938.8,a,3.3,a,20.6,e
Georgia,1.45,a,3.55,a,4.99,a,539.5,a,3.5,a,10.3,e
Hawaii,3.99,a,0.00,a,3.99,a,85.8,a,2.2,a,1.4,e
Idaho,1.71,a,3.24,a,4.95,a,69.0,a,3.9,a,1.7,e
Illinois,1.00,a,3.76,a,4.76,a,806.3,a,0.4,a,12.8,e
Indiana,2.23,a,3.06,a,5.29,a,338.1,a,1.6,a,6.6,e
Iowa,1.93,a,4.27,a,6.21,a,179.5,a,-0.3,a,3.1,e
Kansas,1.88,a,4.19,a,6.07,a,156.9,a,2.6,a,2.9,e
Kentucky,3.13,a,3.37,a,6.50,a,195.3,a,0.7,a,4.4,e
Louisiana,1.93,a,3.57,a,5.50,a,227.2,a,-1.8,a,4.7,e
Maine,1.71,a,4.08,a,5.79,a,59.8,a,2.2,a,1.3,e
Maryland,1.52,a,3.73,a,5.26,a,384.9,a,3.4,a,6.0,e
Massachusetts,1.29,a,3.00,a,4.29,a,519.4,a,1.7,a,6.8,e
Michigan,2.29,a,3.89,a,6.18,a,491.8,a,2.2,a,10.0,e
Minnesota,1.77,a,3.68,a,5.45,a,339.1,a,1.9,a,5.5,e
Mississippi,2.78,a,4.99,a,7.77,a,107.1,a,0.4,a,3.0,e
Missouri,1.38,a,3.78,a,5.16,a,297.6,a,-0.4,a,6.1,e
Montana,2.21,a,4.19,a,6.40,a,45.5,a,-1.4,a,1.0,e
Nebraska,1.93,a,4.32,a,6.26,a,116.2,a,0.4,a,1.9,e
Nevada,1.25,a,2.84,a,4.09,a,151.2,a,2.9,a,2.9,e
New Hampshire,1.54,a,3.79,a,5.33,a,78.5,a,1.8,a,1.3,e
New Jersey,1.85,a,4.45,a,6.31,a,582.4,a,0.9,a,8.9,e
New Mexico,2.94,a,4.43,a,7.37,a,91.0,a,0.1,a,2.1,e
New York,0.84,a,4.59,a,5.43,a,"1,539.6",a,1.3,a,19.6,e
North Carolina,1.94,a,3.08,a,5.02,a,519.1,a,1.2,a,10.2,e
North Dakota,2.66,a,3.72,a,6.37,a,50.8,a,-7.0,a,0.8,e
Ohio,1.64,a,3.91,a,5.56,a,622.8,a,0.8,a,11.6,e
Oklahoma,2.60,a,3.37,a,5.98,a,178.9,a,-3.0,a,3.9,e
Oregon,2.32,a,4.00,a,6.33,a,215.1,a,4.7,a,4.1,e
Pennsylvania,1.68,a,4.07,a,5.75,a,726.2,a,1.3,a,12.8,e
Rhode Island,1.70,a,4.16,a,5.86,a,57.7,a,0.0,a,1.1,e
South Carolina,2.68,a,4.11,a,6.79,a,213.0,a,2.9,a,5.0,e
South Dakota,1.83,a,3.29,a,5.11,a,48.6,a,0.5,a,0.9,e
Tennessee,1.40,a,2.79,a,4.19,a,335.0,a,2.1,a,6.6,e
Texas,1.65,a,3.71,a,5.36,a,"1,565.6",a,0.2,a,27.9,e
All states combined,1.62,a,3.64,a,5.26,a,"18,715.0",a,1.6,a,322.9,e
Utah,2.99,a,3.11,a,6.10,a,157.9,a,4.0,a,3.0,e
Vermont,3.62,a,5.14,a,8.76,a,31.7,a,1.6,a,0.6,e
Virginia,1.81,a,3.43,a,5.24,a,493.9,a,0.4,a,8.4,e
Washington,1.73,a,3.12,a,4.85,a,491.4,a,3.5,a,7.3,e
West Virginia,3.26,a,4.51,a,7.77,a,69.7,a,-1.2,a,1.8,e
Wisconsin,1.75,a,4.12,a,5.87,a,313.5,a,1.2,a,5.8,e
Wyoming,2.30,a,6.60,a,8.90,a,35.7,a,-4.2,a,0.6,e
,,,,,,,,,,,,
Legend:,,,,,,,,,,,,
a - actual reported,,,,,,,,,,,,
e - out-year estimate in US budget,,,,,,,,,,,,
