,,,,,,,,,,,,
Comparison of State and Local Government Spending,,,,,,,,,,,,
in the United States,,,,,,,,,,,,
Fiscal Year 2010,,,,,,,,,,,,
Amounts in percent GDP,,,,,,,,,,,,
Education,,,,,,,,,,,,
State,State Spending,,Local Spending,,State and Local Spending,,Gross State Product,,Real State Growth %,,Population (million), 
Alabama,3.16,a,4.46,a,7.62,a,174.8,a,2.4,a,4.8,a
Alaska,2.47,a,3.79,a,6.25,a,52.9,a,-3.0,a,0.7,a
Arizona,1.51,a,3.99,a,5.50,a,248.2,a,0.9,a,6.4,a
Arkansas,2.67,a,5.20,a,7.87,a,101.7,a,3.3,a,2.9,a
California,1.40,a,3.90,a,5.30,a,"1,974.6",a,1.6,a,37.3,a
Colorado,1.83,a,3.44,a,5.27,a,255.1,a,0.9,a,5.0,a
Connecticut,1.26,a,3.67,a,4.93,a,237.7,a,-0.2,a,3.6,a
Delaware,2.32,a,2.96,a,5.28,a,57.4,a,-0.6,a,0.9,a
District of Columbia,0.00,a,2.34,a,2.34,a,106.1,a,3.4,a,0.6,a
Florida,1.19,a,4.10,a,5.29,a,737.8,a,1.0,a,18.8,a
Georgia,1.78,a,4.26,a,6.04,a,416.9,a,1.6,a,9.7,a
Hawaii,4.83,a,0.00,a,4.83,a,68.2,a,2.8,a,1.4,a
Idaho,1.98,a,4.09,a,6.06,a,55.2,a,1.4,a,1.6,a
Illinois,1.13,a,4.20,a,5.33,a,662.6,a,1.8,a,12.8,a
Indiana,2.30,a,3.77,a,6.07,a,280.1,a,6.4,a,6.5,a
Iowa,2.01,a,4.64,a,6.65,a,141.5,a,2.7,a,3.1,a
Kansas,1.76,a,5.01,a,6.77,a,127.7,a,1.3,a,2.9,a
Kentucky,3.18,a,3.70,a,6.87,a,164.6,a,4.3,a,4.3,a
Louisiana,1.96,a,3.46,a,5.42,a,225.7,a,3.6,a,4.5,a
Maine,1.90,a,4.68,a,6.58,a,51.7,a,1.3,a,1.3,a
Maryland,1.53,a,4.28,a,5.80,a,316.5,a,3.9,a,5.8,a
Massachusetts,1.27,a,3.27,a,4.53,a,409.8,a,4.0,a,6.6,a
Michigan,2.46,a,5.15,a,7.61,a,386.6,a,5.5,a,9.9,a
Minnesota,1.99,a,3.73,a,5.72,a,271.8,a,3.4,a,5.3,a
Mississippi,2.49,a,5.42,a,7.92,a,95.2,a,0.5,a,3.0,a
Missouri,1.40,a,4.21,a,5.61,a,258.5,a,1.7,a,6.0,a
Montana,2.46,a,4.41,a,6.88,a,38.1,a,3.1,a,1.0,a
Nebraska,1.95,a,4.25,a,6.20,a,91.8,a,4.0,a,1.8,a
Nevada,1.26,a,3.32,a,4.59,a,123.6,a,1.2,a,2.7,a
New Hampshire,1.49,a,4.14,a,5.63,a,64.2,a,3.1,a,1.3,a
New Jersey,1.69,a,4.82,a,6.51,a,495.1,a,1.1,a,8.8,a
New Mexico,2.90,a,4.92,a,7.82,a,84.0,a,-0.8,a,2.1,a
New York,0.98,a,4.94,a,5.92,a,"1,214.0",a,3.8,a,19.4,a
North Carolina,1.98,a,3.73,a,5.71,a,415.2,a,1.5,a,9.6,a
North Dakota,2.74,a,3.40,a,6.13,a,35.4,a,7.6,a,0.7,a
Ohio,2.08,a,4.59,a,6.68,a,497.2,a,2.3,a,11.5,a
Oklahoma,2.78,a,3.90,a,6.69,a,152.9,a,0.0,a,3.8,a
Oregon,2.02,a,4.42,a,6.44,a,163.8,a,1.4,a,3.8,a
Pennsylvania,1.57,a,4.34,a,5.91,a,599.3,a,2.8,a,12.7,a
Rhode Island,1.81,a,4.37,a,6.18,a,49.6,a,2.5,a,1.1,a
South Carolina,2.81,a,4.78,a,7.59,a,163.9,a,2.0,a,4.6,a
South Dakota,1.90,a,3.59,a,5.48,a,37.5,a,1.0,a,0.8,a
Tennessee,1.63,a,3.49,a,5.11,a,255.9,a,1.4,a,6.4,a
Texas,1.77,a,4.28,a,6.05,a,"1,237.2",a,2.4,a,25.2,a
All states combined,1.70,a,4.11,a,5.81,a,"14,992.1",a,2.6,a,309.3,a
Utah,2.87,a,3.46,a,6.33,a,118.0,a,2.1,a,2.8,a
Vermont,3.23,a,5.49,a,8.72,a,27.1,a,4.1,a,0.6,a
Virginia,1.78,a,3.65,a,5.42,a,422.9,a,2.7,a,8.0,a
Washington,1.92,a,3.20,a,5.12,a,365.6,a,2.3,a,6.7,a
West Virginia,3.15,a,4.98,a,8.13,a,65.3,a,1.3,a,1.9,a
Wisconsin,1.92,a,4.79,a,6.71,a,254.4,a,3.0,a,5.7,a
Wyoming,1.48,a,5.22,a,6.70,a,37.4,a,-3.8,a,0.6,a
,,,,,,,,,,,,
Legend:,,,,,,,,,,,,
a - actual reported,,,,,,,,,,,,
