,,,,,,,,,,,,
Comparison of State and Local Government Spending,,,,,,,,,,,,
in the United States,,,,,,,,,,,,
Fiscal Year 2019,,,,,,,,,,,,
Amounts in percent GDP,,,,,,,,,,,,
Education,,,,,,,,,,,,
State,State Spending,,Local Spending,,State and Local Spending,,Gross State Product,,Real State Growth %,,Population (million), 
Alabama,3.11,g,3.57,g,6.68,g,231.0,a,2.3,a,4.9,e
Alaska,2.45,g,3.30,g,5.75,g,55.4,a,2.5,a,0.7,e
Arizona,1.75,g,2.81,g,4.55,g,366.2,a,3.1,a,7.3,e
Arkansas,2.72,g,4.15,g,6.87,g,133.2,a,1.8,a,3.0,e
California,1.29,g,3.56,g,4.85,g,"3,137.5",a,2.6,a,39.5,e
Colorado,1.99,g,3.20,g,5.19,g,390.3,a,3.5,a,5.8,e
Connecticut,1.28,g,3.61,g,4.88,g,285.6,a,1.6,a,3.6,e
Delaware,2.35,g,2.85,g,5.20,g,75.4,a,0.8,a,1.0,e
District of Columbia,0.00,g,2.27,g,2.27,g,146.2,a,1.6,a,0.7,e
Florida,1.20,g,3.12,g,4.32,g,"1,093.4",a,2.8,a,21.5,e
Georgia,1.51,g,3.53,g,5.04,g,616.3,a,2.0,a,10.6,e
Hawaii,4.04,g,0.00,g,4.04,g,97.3,a,1.0,a,1.4,e
Idaho,1.83,g,3.31,g,5.15,g,80.9,a,2.8,a,1.8,e
Illinois,0.98,g,3.54,g,4.52,g,897.1,a,1.6,a,12.7,e
Indiana,2.20,g,2.93,g,5.13,g,377.1,a,0.8,a,6.7,e
Iowa,1.79,g,4.11,g,5.90,g,194.8,a,0.9,a,3.2,e
Kansas,1.63,g,4.30,g,5.94,g,173.1,a,0.9,a,2.9,e
Kentucky,2.88,g,3.28,g,6.16,g,214.7,a,1.1,a,4.5,e
Louisiana,1.59,g,3.09,g,4.68,g,263.9,a,1.3,a,4.6,e
Maine,1.56,g,4.21,g,5.76,g,67.5,a,1.9,a,1.3,e
Maryland,1.45,g,3.70,g,5.15,g,428.3,a,1.5,a,6.0,e
Massachusetts,1.18,g,2.87,g,4.05,g,595.6,a,2.5,a,6.9,e
Michigan,2.44,g,3.88,g,6.32,g,541.6,a,0.7,a,10.0,e
Minnesota,1.74,g,3.69,g,5.43,g,380.9,a,1.4,a,5.6,e
Mississippi,2.27,g,4.62,g,6.89,g,118.8,a,1.3,a,3.0,e
Missouri,1.21,g,3.59,g,4.80,g,332.1,a,2.1,a,6.1,e
Montana,2.03,g,4.23,g,6.26,g,52.2,a,2.1,a,1.1,e
Nebraska,1.68,g,4.13,g,5.81,g,127.0,a,0.6,a,1.9,e
Nevada,1.37,g,2.90,g,4.27,g,177.6,a,2.9,a,3.1,e
New Hampshire,1.28,g,3.67,g,4.95,g,88.6,a,2.7,a,1.4,e
New Jersey,1.85,g,4.19,g,6.04,g,644.8,a,1.5,a,8.9,e
New Mexico,2.79,g,3.79,g,6.58,g,104.0,a,3.7,a,2.1,e
New York,0.76,g,4.57,g,5.33,g,"1,731.9",a,1.8,a,19.5,e
North Carolina,1.94,g,3.07,g,5.01,g,587.7,a,2.3,a,10.5,e
North Dakota,1.97,g,3.20,g,5.17,g,57.0,a,2.3,a,0.8,e
Ohio,1.62,g,3.82,g,5.44,g,698.5,a,1.7,a,11.7,e
Oklahoma,2.12,g,3.08,g,5.20,g,206.1,a,2.4,a,4.0,e
Oregon,2.18,g,4.02,g,6.19,g,251.6,a,2.7,a,4.2,e
Pennsylvania,1.48,g,4.08,g,5.56,g,813.5,a,2.3,a,12.8,e
Rhode Island,1.74,g,4.05,g,5.80,g,63.5,a,2.7,a,1.1,e
South Carolina,2.49,g,4.09,g,6.59,g,246.3,a,3.0,a,5.1,e
South Dakota,1.76,g,3.37,g,5.13,g,53.3,a,0.7,a,0.9,e
Tennessee,1.33,g,2.74,g,4.08,g,380.1,a,2.2,a,6.8,e
Texas,1.53,g,3.50,g,5.03,g,"1,887.0",a,4.4,a,29.0,e
All states combined,1.55,g,3.57,g,5.12,g,"21,427.7",a,2.3,a,328.2,e
Utah,2.83,g,3.11,g,5.94,g,188.5,a,3.8,a,3.2,e
Vermont,3.47,g,5.99,g,9.46,g,34.8,a,2.5,a,0.6,e
Virginia,1.85,g,3.26,g,5.11,g,554.2,a,1.9,a,8.5,e
Washington,1.59,g,3.31,g,4.91,g,599.6,a,3.8,a,7.6,e
West Virginia,2.61,g,3.83,g,6.44,g,78.2,a,1.0,a,1.8,e
Wisconsin,1.62,g,4.22,g,5.84,g,347.3,a,1.4,a,5.8,e
Wyoming,1.80,g,4.83,g,6.63,g,39.6,a,3.3,a,0.6,e
,,,,,,,,,,,,
Legend:,,,,,,,,,,,,
a - actual reported,,,,,,,,,,,,
e - out-year estimate in US budget,,,,,,,,,,,,
g - 'guesstimated' projection by usgovernmentspending.com,,,,,,,,,,,,
