,,,,,,,,,,,,
Comparison of State and Local Government Spending,,,,,,,,,,,,
in the United States,,,,,,,,,,,,
Fiscal Year 2011,,,,,,,,,,,,
Amounts in percent GDP,,,,,,,,,,,,
Education,,,,,,,,,,,,
State,State Spending,,Local Spending,,State and Local Spending,,Gross State Product,,Real State Growth %,,Population (million), 
Alabama,3.18,a,4.23,a,7.41,a,181.4,a,1.5,a,4.8,e
Alaska,2.52,a,3.55,a,6.06,a,56.3,a,0.9,a,0.7,e
Arizona,1.58,a,3.68,a,5.25,a,257.9,a,2.2,a,6.5,e
Arkansas,2.91,a,5.12,a,8.03,a,106.1,a,2.2,a,2.9,e
California,1.41,a,3.67,a,5.09,a,"2,050.1",a,1.6,a,37.6,e
Colorado,1.85,a,3.24,a,5.09,a,264.4,a,1.5,a,5.1,e
Connecticut,1.38,a,3.62,a,5.00,a,236.5,a,-2.2,a,3.6,e
Delaware,2.33,a,2.92,a,5.25,a,60.4,a,3.3,a,0.9,e
District of Columbia,0.00,a,2.20,a,2.20,a,110.1,a,1.9,a,0.6,e
Florida,1.24,a,4.02,a,5.27,a,746.8,a,-0.3,a,19.1,e
Georgia,1.96,a,3.98,a,5.94,a,429.6,a,1.6,a,9.8,e
Hawaii,4.80,a,0.00,a,4.80,a,70.5,a,1.5,a,1.4,e
Idaho,1.84,a,3.78,a,5.63,a,56.5,a,-0.2,a,1.6,e
Illinois,1.07,a,4.06,a,5.14,a,688.3,a,1.7,a,12.9,e
Indiana,2.26,a,3.54,a,5.80,a,288.7,a,0.5,a,6.5,e
Iowa,2.04,a,4.59,a,6.63,a,147.2,a,1.1,a,3.1,e
Kansas,1.73,a,4.53,a,6.25,a,135.3,a,2.7,a,2.9,e
Kentucky,3.14,a,3.66,a,6.79,a,169.9,a,1.2,a,4.4,e
Louisiana,1.90,a,3.49,a,5.38,a,229.0,a,-5.4,a,4.6,e
Maine,1.99,a,4.72,a,6.71,a,51.9,a,-1.3,a,1.3,e
Maryland,1.49,a,4.15,a,5.63,a,328.1,a,2.2,a,5.8,e
Massachusetts,1.35,a,3.19,a,4.54,a,425.6,a,2.4,a,6.6,e
Michigan,2.38,a,4.85,a,7.23,a,401.1,a,2.6,a,9.9,e
Minnesota,1.90,a,3.60,a,5.51,a,283.8,a,2.0,a,5.3,e
Mississippi,2.35,a,5.23,a,7.58,a,96.4,a,-1.3,a,3.0,e
Missouri,1.40,a,3.98,a,5.38,a,260.1,a,-1.1,a,6.0,e
Montana,2.31,a,4.16,a,6.47,a,40.6,a,2.3,a,1.0,e
Nebraska,1.77,a,4.01,a,5.78,a,99.6,a,4.6,a,1.8,e
Nevada,1.24,a,3.25,a,4.48,a,126.7,a,0.7,a,2.7,e
New Hampshire,1.54,a,4.29,a,5.83,a,65.4,a,0.6,a,1.3,e
New Jersey,1.62,a,4.59,a,6.21,a,499.1,a,-1.1,a,8.8,e
New Mexico,2.76,a,4.61,a,7.37,a,86.6,a,0.2,a,2.1,e
New York,1.04,a,4.81,a,5.86,a,"1,236.1",a,0.0,a,19.5,e
North Carolina,2.03,a,3.58,a,5.61,a,427.2,a,1.3,a,9.7,e
North Dakota,2.43,a,3.02,a,5.45,a,41.2,a,11.3,a,0.7,e
Ohio,2.01,a,4.41,a,6.43,a,525.4,a,3.4,a,11.5,e
Oklahoma,2.37,a,3.31,a,5.68,a,165.0,a,3.7,a,3.8,e
Oregon,1.95,a,4.28,a,6.24,a,170.6,a,2.9,a,3.9,e
Pennsylvania,1.55,a,4.20,a,5.75,a,619.0,a,1.4,a,12.7,e
Rhode Island,1.80,a,4.36,a,6.16,a,50.2,a,-0.4,a,1.1,e
South Carolina,2.76,a,4.41,a,7.17,a,170.1,a,2.3,a,4.7,e
South Dakota,1.67,a,3.41,a,5.09,a,41.5,a,6.6,a,0.8,e
Tennessee,1.56,a,3.39,a,4.95,a,267.7,a,3.0,a,6.4,e
Texas,1.67,a,3.88,a,5.56,a,"1,331.2",a,3.2,a,25.6,e
All states combined,1.69,a,3.93,a,5.62,a,"15,542.6",a,1.6,a,311.6,e
Utah,2.97,a,3.36,a,6.33,a,124.5,a,3.0,a,2.8,e
Vermont,3.23,a,5.29,a,8.52,a,28.1,a,2.2,a,0.6,e
Virginia,1.82,a,3.49,a,5.31,a,432.4,a,1.0,a,8.1,e
Washington,1.94,a,3.10,a,5.05,a,379.5,a,1.7,a,6.8,e
West Virginia,3.33,a,4.90,a,8.23,a,68.5,a,1.8,a,1.9,e
Wisconsin,1.93,a,4.74,a,6.68,a,263.9,a,2.1,a,5.7,e
Wyoming,1.57,a,4.86,a,6.43,a,39.4,a,-1.0,a,0.6,e
,,,,,,,,,,,,
Legend:,,,,,,,,,,,,
a - actual reported,,,,,,,,,,,,
e - out-year estimate in US budget,,,,,,,,,,,,
