,,,,,,,,,,,,
Comparison of State and Local Government Spending,,,,,,,,,,,,
in the United States,,,,,,,,,,,,
Fiscal Year 2014,,,,,,,,,,,,
Amounts in percent GDP,,,,,,,,,,,,
Education,,,,,,,,,,,,
State,State Spending,,Local Spending,,State and Local Spending,,Gross State Product,,Real State Growth %,,Population (million), 
Alabama,3.52,a,3.92,a,7.44,a,194.2,a,-0.7,a,4.8,e
Alaska,2.87,a,3.66,a,6.53,a,55.5,a,-2.7,a,0.7,e
Arizona,2.04,a,3.32,a,5.36,a,284.4,a,1.3,a,6.7,e
Arkansas,2.73,a,4.25,a,6.98,a,117.3,a,1.0,a,3.0,e
California,1.31,a,3.24,a,4.55,a,"2,395.2",a,4.1,a,38.6,e
Colorado,1.84,a,3.00,a,4.84,a,306.6,a,4.7,a,5.4,e
Connecticut,1.48,a,3.63,a,5.11,a,248.9,a,-1.4,a,3.6,e
Delaware,2.46,a,2.90,a,5.36,a,66.9,a,7.3,a,0.9,e
District of Columbia,0.00,a,2.21,a,2.21,a,119.8,a,2.0,a,0.7,e
Florida,1.14,a,3.50,a,4.64,a,839.5,a,2.7,a,19.8,e
Georgia,1.77,a,3.62,a,5.39,a,485.8,a,3.3,a,10.1,e
Hawaii,4.39,a,0.00,a,4.39,a,77.9,a,0.3,a,1.4,e
Idaho,1.73,a,3.37,a,5.10,a,63.5,a,2.6,a,1.6,e
Illinois,1.09,a,3.84,a,4.93,a,765.3,a,1.4,a,12.9,e
Indiana,2.11,a,3.09,a,5.20,a,324.9,a,3.2,a,6.6,e
Iowa,1.94,a,4.22,a,6.16,a,171.6,a,5.4,a,3.1,e
Kansas,1.73,a,4.26,a,6.00,a,148.2,a,2.1,a,2.9,e
Kentucky,2.85,a,3.34,a,6.19,a,186.5,a,0.3,a,4.4,e
Louisiana,1.65,a,3.31,a,4.96,a,238.7,a,3.1,a,4.6,e
Maine,1.79,a,4.15,a,5.94,a,55.8,a,1.7,a,1.3,e
Maryland,1.58,a,4.00,a,5.57,a,352.0,a,1.1,a,6.0,e
Massachusetts,1.34,a,3.24,a,4.58,a,473.3,a,2.0,a,6.8,e
Michigan,2.36,a,4.08,a,6.44,a,449.1,a,1.7,a,9.9,e
Minnesota,1.79,a,3.43,a,5.22,a,319.8,a,2.9,a,5.5,e
Mississippi,2.40,a,4.95,a,7.36,a,104.1,a,0.5,a,3.0,e
Missouri,1.40,a,3.81,a,5.21,a,284.7,a,0.5,a,6.1,e
Montana,2.01,a,4.03,a,6.05,a,44.5,a,1.7,a,1.0,e
Nebraska,1.70,a,3.91,a,5.62,a,111.2,a,2.0,a,1.9,e
Nevada,1.33,a,2.92,a,4.24,a,135.2,a,1.3,a,2.8,e
New Hampshire,1.45,a,3.88,a,5.33,a,72.3,a,1.1,a,1.3,e
New Jersey,1.78,a,4.55,a,6.33,a,546.7,a,0.5,a,8.9,e
New Mexico,2.64,a,4.21,a,6.85,a,92.5,a,3.2,a,2.1,e
New York,0.86,a,4.67,a,5.53,a,"1,427.5",a,2.3,a,19.7,e
North Carolina,1.96,a,3.16,a,5.13,a,476.0,a,2.2,a,9.9,e
North Dakota,1.92,a,2.62,a,4.54,a,58.7,a,7.6,a,0.7,e
Ohio,1.77,a,3.80,a,5.58,a,593.4,a,3.8,a,11.6,e
Oklahoma,2.11,a,3.10,a,5.22,a,195.0,a,5.7,a,3.9,e
Oregon,2.38,a,3.92,a,6.30,a,188.9,a,3.4,a,4.0,e
Pennsylvania,1.56,a,3.97,a,5.54,a,691.2,a,2.3,a,12.8,e
Rhode Island,1.74,a,4.17,a,5.91,a,54.4,a,0.1,a,1.1,e
South Carolina,2.72,a,4.19,a,6.91,a,191.9,a,2.6,a,4.8,e
South Dakota,1.58,a,3.08,a,4.67,a,46.0,a,1.3,a,0.8,e
Tennessee,1.58,a,3.05,a,4.64,a,303.8,a,1.7,a,6.5,e
Texas,1.58,a,3.33,a,4.90,a,"1,572.8",a,3.5,a,27.0,e
All states combined,1.62,a,3.61,a,5.23,a,"17,527.3",a,2.5,a,318.3,e
Utah,2.79,a,3.09,a,5.88,a,141.3,a,3.2,a,2.9,e
Vermont,3.40,a,5.30,a,8.69,a,29.7,a,0.1,a,0.6,e
Virginia,1.78,a,3.52,a,5.31,a,463.5,a,-0.2,a,8.3,e
Washington,1.74,a,2.90,a,4.64,a,442.2,a,3.6,a,7.1,e
West Virginia,3.12,a,4.48,a,7.60,a,71.9,a,-0.4,a,1.8,e
Wisconsin,1.85,a,4.21,a,6.07,a,293.9,a,2.1,a,5.8,e
Wyoming,1.79,a,5.27,a,7.06,a,39.4,a,0.6,a,0.6,e
,,,,,,,,,,,,
Legend:,,,,,,,,,,,,
a - actual reported,,,,,,,,,,,,
e - out-year estimate in US budget,,,,,,,,,,,,
