,,,,,,,,,,,,
Comparison of State and Local Government Spending,,,,,,,,,,,,
in the United States,,,,,,,,,,,,
Fiscal Year 2017,,,,,,,,,,,,
Amounts in percent GDP,,,,,,,,,,,,
Education,,,,,,,,,,,,
State,State Spending,,Local Spending,,State and Local Spending,,Gross State Product,,Real State Growth %,,Population (million), 
Alabama,2.96,a,3.78,a,6.73,a,210.4,a,1.2,a,4.9,e
Alaska,2.70,a,3.70,a,6.40,a,51.8,a,0.0,a,0.7,e
Arizona,1.73,a,2.94,a,4.67,a,327.5,a,3.5,a,7.0,e
Arkansas,2.58,a,4.24,a,6.82,a,123.4,a,0.7,a,3.0,e
California,1.28,a,3.44,a,4.71,a,"2,819.1",a,4.4,a,39.4,e
Colorado,2.06,a,3.01,a,5.06,a,350.0,a,4.0,a,5.6,e
Connecticut,1.54,a,3.55,a,5.09,a,268.3,a,0.4,a,3.6,e
Delaware,2.74,a,2.97,a,5.71,a,70.8,a,-0.6,a,1.0,e
District of Columbia,0.00,a,2.24,a,2.24,a,134.0,a,1.2,a,0.7,e
Florida,1.15,a,3.25,a,4.40,a,985.7,a,3.4,a,21.0,e
Georgia,1.45,a,3.54,a,4.99,a,566.5,a,3.7,a,10.4,e
Hawaii,3.85,a,0.00,a,3.85,a,89.4,a,2.3,a,1.4,e
Idaho,1.68,a,3.31,a,4.99,a,72.7,a,3.5,a,1.7,e
Illinois,1.03,a,3.65,a,4.67,a,826.8,a,0.9,a,12.8,e
Indiana,2.17,a,3.01,a,5.18,a,351.1,a,1.9,a,6.7,e
Iowa,1.88,a,4.28,a,6.16,a,181.8,a,-0.3,a,3.1,e
Kansas,1.89,a,4.28,a,6.17,a,161.2,a,1.0,a,2.9,e
Kentucky,3.12,a,3.39,a,6.51,a,200.7,a,1.1,a,4.5,e
Louisiana,1.79,a,3.45,a,5.24,a,239.2,a,1.4,a,4.7,e
Maine,1.63,a,4.16,a,5.79,a,62.0,a,2.2,a,1.3,e
Maryland,1.46,a,3.87,a,5.33,a,394.3,a,0.9,a,6.0,e
Massachusetts,1.32,a,3.02,a,4.34,a,540.8,a,2.5,a,6.9,e
Michigan,2.32,a,3.84,a,6.16,a,505.6,a,1.5,a,10.0,e
Minnesota,1.91,a,3.78,a,5.69,a,351.4,a,1.9,a,5.6,e
Mississippi,2.55,a,4.93,a,7.48,a,110.2,a,0.9,a,3.0,e
Missouri,1.38,a,3.74,a,5.12,a,304.9,a,1.0,a,6.1,e
Montana,2.16,a,4.09,a,6.25,a,47.6,a,1.7,a,1.1,e
Nebraska,1.83,a,4.31,a,6.14,a,120.5,a,2.1,a,1.9,e
Nevada,1.30,a,2.97,a,4.27,a,158.8,a,3.2,a,3.0,e
New Hampshire,1.47,a,3.74,a,5.21,a,80.9,a,1.8,a,1.3,e
New Jersey,1.85,a,4.41,a,6.26,a,595.3,a,0.7,a,8.9,e
New Mexico,2.91,a,4.36,a,7.27,a,94.3,a,0.1,a,2.1,e
New York,0.80,a,4.58,a,5.38,a,"1,604.1",a,2.1,a,19.6,e
North Carolina,1.96,a,3.13,a,5.09,a,538.4,a,2.1,a,10.3,e
North Dakota,2.36,a,3.48,a,5.84,a,52.5,a,0.0,a,0.8,e
Ohio,1.64,a,4.00,a,5.63,a,645.3,a,1.6,a,11.7,e
Oklahoma,2.51,a,3.13,a,5.64,a,188.4,a,0.8,a,3.9,e
Oregon,2.21,a,3.92,a,6.13,a,226.6,a,3.8,a,4.1,e
Pennsylvania,1.71,a,4.15,a,5.86,a,744.3,a,0.6,a,12.8,e
Rhode Island,1.70,a,4.27,a,5.97,a,58.5,a,-0.2,a,1.1,e
South Carolina,2.71,a,4.11,a,6.82,a,223.1,a,3.3,a,5.0,e
South Dakota,1.67,a,3.27,a,4.94,a,49.7,a,-0.1,a,0.9,e
Tennessee,1.40,a,2.83,a,4.24,a,346.0,a,1.9,a,6.7,e
Texas,1.69,a,3.72,a,5.41,a,"1,665.6",a,2.9,a,28.3,e
All states combined,1.61,a,3.63,a,5.24,a,"19,519.4",a,2.4,a,325.0,e
Utah,2.89,a,3.12,a,6.01,a,167.3,a,3.9,a,3.1,e
Vermont,3.70,a,5.19,a,8.88,a,32.2,a,0.1,a,0.6,e
Virginia,1.79,a,3.56,a,5.36,a,509.4,a,1.8,a,8.5,e
Washington,1.69,a,3.09,a,4.77,a,524.8,a,5.2,a,7.4,e
West Virginia,3.12,a,4.33,a,7.44,a,73.2,a,1.5,a,1.8,e
Wisconsin,1.69,a,4.07,a,5.76,a,322.0,a,1.3,a,5.8,e
Wyoming,2.33,a,5.94,a,8.27,a,37.5,a,-0.1,a,0.6,e
,,,,,,,,,,,,
Legend:,,,,,,,,,,,,
a - actual reported,,,,,,,,,,,,
e - out-year estimate in US budget,,,,,,,,,,,,
